Categorie;isRestaurant
& Probates;0
3D Printing;0
Acai Bowls;1
Accessories;0
Accountants;0
Acne Treatment;0
Active Life;0
Acupuncture;0
Addiction Medicine;0
Adoption Services;0
Adult;0
Adult Education;0
Adult Entertainment;0
Advertising;0
Aerial Fitness;0
Aerial Tours;0
Aestheticians;0
Afghan;1
African;1
Air Duct Cleaning;0
Aircraft Dealers;0
Aircraft Repairs;0
Airlines;0
Airport Lounges;0
Airport Shuttles;0
Airport Terminals;0
Airports;0
Airsoft;0
Allergists;0
Alternative Medicine;0
Amateur Sports Teams;0
American (New);1
American (Traditional);1
Amusement Parks;0
Anesthesiologists;0
Animal Assisted Therapy;0
Animal Physical Therapy;0
Animal Shelters;0
Antiques;0
Apartment Agents;0
Apartments;0
Appliances;0
Appliances & Repair;0
Appraisal Services;0
Aquarium Services;0
Aquariums;0
Arabian;1
Arcades;0
Archery;0
Architects;0
Architectural Tours;0
Argentine;1
Armenian;1
Art Classes;0
Art Consultants;0
Art Galleries;0
Art Installation;0
Art Museums;0
Art Restoration;0
Art Schools;0
Art Space Rentals;0
Art Supplies;0
Art Tours;0
Artificial Turf;0
Arts & Crafts;0
Arts & Entertainment;1
Asian Fusion;1
Assisted Living Facilities;0
Astrologers;0
Attraction Farms;0
ATV Rentals/Tours;0
Auction Houses;0
Audio/Visual Equipment Rental;0
Audiologist;0
Australian;1
Austrian;1
Auto Customization;0
Auto Detailing;0
Auto Electric Services;0
Auto Glass Services;0
Auto Insurance;0
Auto Loan Providers;0
Auto Parts & Supplies;0
Auto Repair;0
Auto Security;0
Auto Upholstery;0
Automotive;0
Aviation Services;0
Awnings;0
Axe Throwing;0
Ayurveda;0
Baby Gear & Furniture;0
Backflow Services;0
Backshop;1
Badminton;0
Bagels;1
Bail Bondsmen;0
Bakeries;1
Balloon Services;0
Bangladeshi;1
Bankruptcy Law;0
Banks & Credit Unions;0
Bar Crawl;1
Barbeque;1
Barbers;0
Barre Classes;0
Bars;1
Bartenders;0
Bartending Schools;0
Baseball Fields;0
Basketball Courts;0
Basque;1
Battery Stores;0
Batting Cages;0
Beach Bars;1
Beach Equipment Rentals;0
Beach Volleyball;0
Beaches;0
Beauty & Spas;0
Bed & Breakfast;0
Beer;1
Beer Bar;1
Beer Garden;0
Beer Gardens;0
Beer Hall;0
Beer Tours;0
Behavior Analysts;0
Belgian;1
Bespoke Clothing;0
Beverage Store;1
Bicycles;0
Bike Parking;0
Bike Rentals;0
Bike Repair;0
Bike Repair/Maintenance;0
Bike Sharing;0
Bike Shop;0
Bike tours;0
Bikes;0
Billing Services;0
Bingo Halls;0
Biohazard Cleanup;0
Bird Shops;0
Bistros;1
Blood & Plasma Donation Centers;0
Blow Dry/Out Services;0
Boat Charters;0
Boat Dealers;0
Boat Parts & Supplies;0
Boat Repair;0
Boat Tours;0
Boating;0
Bocce Ball;0
Body Contouring;0
Body Shops;0
Bookbinding;0
Bookkeepers;0
Books;0
Bookstores;0
Boot Camps;0
Botanical Gardens;0
Boudoir Photography;0
Bounce House Rentals;0
Bowling;0
Boxing;0
Brasseries;1
Brazilian;1
Brazilian Jiu-jitsu;1
Breakfast & Brunch;1
Breweries;0
Brewing Supplies;0
Brewpubs;1
Bridal;0
British;1
Bubble Soccer;0
Bubble Tea;1
Buddhist Temples;0
Buffets;1
Building Supplies;0
Bulgarian;1
Bungee Jumping;0
Burgers;1
Burmese;1
Bus Rental;0
Bus Stations;0
Bus Tours;0
Buses;0
Business Consulting;0
Business Financing;0
Business Law;0
Butcher;0
Cabaret;0
Cabinetry;0
Cafes;1
Cafeteria;1
Cajun/Creole;1
Calabrian;1
Calligraphy;0
Cambodian;1
Campgrounds;0
Canadian (New);1
Candle Stores;0
Candy Stores;0
Cannabis Clinics;0
Cannabis Collective;0
Cannabis Dispensaries;0
Cannabis Tours;0
Cantonese;1
Car Auctions;0
Car Brokers;0
Car Buyers;0
Car Dealers;0
Car Inspectors;0
Car Rental;0
Car Share Services;0
Car Stereo Installation;0
Car Wash;0
Car Window Tinting;0
Cardio Classes;0
Cardiologists;0
Cards & Stationery;0
Career Counseling;0
Caribbean;1
Caricatures;0
Carousels;0
Carpenters;0
Carpet Cleaning;0
Carpet Dyeing;0
Carpet Installation;0
Carpeting;0
Casinos;0
Catalan;1
Caterers;1
Ceremonial Clothing;0
Challenge Courses;0
Champagne Bars;1
Check Cashing/Pay-day Loans;0
Cheerleading;0
Cheese Shops;1
Cheese Tasting Classes;1
Cheesesteaks;1
Chicken Shop;0
Chicken Wings;1
Child Care & Day Care;0
Childbirth Education;0
Childproofing;0
Children's Clothing;0
Children's Museums;0
Chimney Cakes;0
Chimney Sweeps;0
Chinese;1
Chinese Martial Arts;0
Chiropractors;0
Chocolatiers & Shops;1
Christmas Markets;0
Christmas Trees;0
Churches;0
Churros;1
Cideries;1
Cigar Bars;1
Cinema;0
Circuit Training Gyms;0
Civic Center;0
Climbing;0
Clock Repair;0
Clothing Rental;0
Clowns;0
Club Crawl;0
Cocktail Bars;1
Coffee & Tea;1
Coffee & Tea Supplies;1
Coffee Roasteries;1
Coffeeshops;1
College Counseling;0
Colleges & Universities;0
Colombian;1
Colonics;0
Comedy Clubs;0
Comfort Food;1
Comic Books;0
Commercial Real Estate;0
Commercial Truck Dealers;0
Commercial Truck Repair;0
Commissioned Artists;0
Community Centers;0
Community Gardens;0
Community Service/Non-Profit;0
Computers;0
Concept Shops;0
Concierge Medicine;0
Condominiums;0
Consumer Law;0
Contract Law;0
Contractors;0
Convenience Stores;0
Conveyor Belt Sushi;1
Cooking Classes;1
Cooking Schools;0
Cosmetic Dentists;0
Cosmetic Surgeons;0
Cosmetics & Beauty Supply;0
Cosmetology Schools;0
Costumes;0
Counseling & Mental Health;0
Countertop Installation;0
Country Clubs;0
Country Dance Halls;0
Couriers & Delivery Services;0
Court Reporters;0
Courthouses;0
CPR Classes;0
Crane Services;0
Cremation Services;0
Creperies;1
Criminal Defense Law;0
Crisis Pregnancy Centers;0
Cryotherapy;0
CSA;0
Cuban;1
Cultural Center;0
Cupcakes;1
Currency Exchange;0
Custom Cakes;1
Customized Merchandise;0
Customs Brokers;0
Cycling Classes;0
Czech;1
Czech/Slovakian;1
Damage Restoration;0
Dance Clubs;0
Dance Schools;0
Dance Studios;0
Dance Wear;0
Data Recovery;0
Day Camps;0
Day Spas;0
Debt Relief Services;0
Decks & Railing;0
Delicatessen;1
Delis;1
Demolition Services;0
Dental Hygienists;0
Dentists;0
Department Stores;0
Departments of Motor Vehicles;0
Dermatologists;0
Desserts;1
Diagnostic Imaging;0
Diagnostic Services;0
Dialysis Clinics;0
Diamond Buyers;0
Dietitians;0
Digitizing Services;0
Dim Sum;1
Diners;1
Dinner Theater;1
Disability Law;0
Disc Golf;0
Discount Store;0
Distilleries;0
Dive Bars;1
Dive Shops;0
Diving;0
Divorce & Family Law;0
DIY Auto Shop;0
DJs;0
